ex_date,lab_date,std,std_conc_NH4,std_conc_NO3,plot,treatment,depth,tube_ID,lab_replicate,dilution,ammonium_id,nitrate_id,position,cancel_nitrate,cancel_ammonium,notes
,4/20/2022,1,,0.00,,,,,,,,NO3_4_20_22,1,,,
,4/20/2022,1,,0.25,,,,,,,,NO3_4_20_22,2,,,
,4/20/2022,1,,0.50,,,,,,,,NO3_4_20_22,3,,,
,4/20/2022,1,,1.00,,,,,,,,NO3_4_20_22,4,,,
,4/20/2022,1,,2.00,,,,,,,,NO3_4_20_22,5,,,
,4/20/2022,1,,3.00,,,,,,,,NO3_4_20_22,6,,,
,4/20/2022,1,,5.00,,,,,,,,NO3_4_20_22,7,,,
,4/20/2022,1,,10.00,,,,,,,,NO3_4_20_22,8,,,
,4/20/2022,,,,G,,,X,,2,,NO3_4_20_22,9,,,
,4/20/2022,,,,S,,,X,,2,,NO3_4_20_22,10,,,
,4/20/2022,,,,W,,,X,,2,,NO3_4_20_22,11,,,
,4/20/2022,,,,V,,,X,,2,,NO3_4_20_22,12,,,
,4/20/2022,,,,Blank,,,X,,2,,NO3_4_20_22,13,,,
,4/20/2022,,,,G,,,A,,2,,NO3_4_20_22,14,,,
,4/20/2022,,,,S,,,A,,2,,NO3_4_20_22,15,,,
,4/20/2022,,,,W,,,A,,2,,NO3_4_20_22,16,,,
,4/20/2022,,,,V,,,A,,2,,NO3_4_20_22,17,,,
,4/20/2022,,,,G,,,B,,2,,NO3_4_20_22,18,,,
,4/20/2022,,,,S,,,B,,2,,NO3_4_20_22,19,,,
,4/20/2022,,,,W,,,B,,2,,NO3_4_20_22,20,,,
,4/20/2022,,,,V,,,B,,2,,NO3_4_20_22,21,,,
,4/20/2022,,,,Blank,,,B,,2,,NO3_4_20_22,22,,,
,4/20/2022,,,,G,,,C,,2,,NO3_4_20_22,23,,,
,4/20/2022,,,,S,,,C,,2,,NO3_4_20_22,24,,,
,4/20/2022,,,,W,,,C,,2,,NO3_4_20_22,25,,,
,4/20/2022,,,,V,,,C,,2,,NO3_4_20_22,26,,,
,4/20/2022,,,,Blank,,,C,,2,,NO3_4_20_22,27,,,
,4/20/2022,,,,G,,,D,,2,,NO3_4_20_22,28,,,
,4/20/2022,,,,S,,,D,,2,,NO3_4_20_22,29,,,
,4/20/2022,,,,W,,,D,,2,,NO3_4_20_22,30,,,
,4/20/2022,,,,V,,,D,,2,,NO3_4_20_22,31,,,
,4/20/2022,,,,Blank,,,D,,2,,NO3_4_20_22,32,,,
,4/20/2022,,,,G,,,E,,2,,NO3_4_20_22,33,,,
,4/20/2022,,,,S,,,E,,2,,NO3_4_20_22,34,,,
,4/20/2022,,,,W,,,E,,2,,NO3_4_20_22,35,,,
,4/20/2022,,,,V,,,E,,2,,NO3_4_20_22,36,,,
,4/20/2022,,,,Blank,,,E,,2,,NO3_4_20_22,37,,,
,4/20/2022,,,,reagent_blank,,,reagent_blank,,,,NO3_4_20_22,38,,,
,4/20/2022,,,,reagent_blank,,,reagent_blank,,,,NO3_4_20_22,39,,,
,4/20/2022,,,,reagent_blank,,,reagent_blank,,,,NO3_4_20_22,40,,,
,4/20/2022,1,,0.00,,,,,,,,NO3_4_20_22,49,,,
,4/20/2022,1,,0.25,,,,,,,,NO3_4_20_22,50,,,
,4/20/2022,1,,0.50,,,,,,,,NO3_4_20_22,51,,,
,4/20/2022,1,,1.00,,,,,,,,NO3_4_20_22,52,,,
,4/20/2022,1,,2.00,,,,,,,,NO3_4_20_22,53,,,
,4/20/2022,1,,3.00,,,,,,,,NO3_4_20_22,54,,,
,4/20/2022,1,,5.00,,,,,,,,NO3_4_20_22,55,,,
,4/20/2022,1,,10.00,,,,,,,,NO3_4_20_22,56,,,
,4/20/2022,,,,S,,,X,,20,,NO3_4_20_22B,57,,,
,4/20/2022,,,,V,,,X,,20,,NO3_4_20_22B,58,,,
,4/20/2022,,,,V,,,A,,20,,NO3_4_20_22B,59,,,
,4/20/2022,,,,S,,,B,,20,,NO3_4_20_22B,60,,,
,4/20/2022,,,,V,,,B,,20,,NO3_4_20_22B,61,,,
,4/20/2022,,,,S,,,C,,20,,NO3_4_20_22B,62,,,
,4/20/2022,,,,V,,,C,,20,,NO3_4_20_22B,63,,,
,4/20/2022,,,,S,,,D,,20,,NO3_4_20_22B,64,,,
,4/20/2022,,,,V,,,D,,20,,NO3_4_20_22B,65,,,
,4/20/2022,,,,G,,,E,,20,,NO3_4_20_22B,66,,,
,4/20/2022,,,,S,,,E,,20,,NO3_4_20_22B,67,,,
,4/20/2022,,,,reagent_blank,,,reagent_blank,,,,NO3_4_20_22B,68,,,
,4/20/2022,,,,reagent_blank,,,reagent_blank,,,,NO3_4_20_22B,69,,,
,4/20/2022,,,,reagent_blank,,,reagent_blank,,,,NO3_4_20_22B,70,,,
,4/20/2022,,,,reagent_blank,,,reagent_blank,,,,NO3_4_20_22B,71,,,
,4/20/2022,,,,reagent_blank,,,reagent_blank,,,,NO3_4_20_22B,72,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
